acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
-0.042353,-0.021719,-0.178278,-0.123447,0.012453,-0.002264,0.025949,-0.004017,0.064326
-0.049592,0.033309,-0.147082,-0.124969,0.012639,-0.007648,0.021881,-0.003608,0.064159
-0.033001,-0.033659,-0.168646,-0.126339,0.012628,-0.012872,0.017766,-0.003196,0.063818
0.005263,-0.052769,-0.17099,-0.126806,0.011197,-0.018491,0.013621,-0.002807,0.063297
-0.040321,0.05492,-0.185398,-0.127395,0.011228,-0.024387,0.009457,-0.002442,0.062586
0.038542,-0.012047,-0.149498,-0.127438,0.011931,-0.029928,0.005284,-0.002065,0.061686
0.033754,-0.033609,-0.151845,-0.12626,0.011174,-0.034915,0.001128,-0.001689,0.060612
0.00494,0.057311,-0.120753,-0.125639,0.011561,-0.039428,-0.002998,-0.001319,0.059381
0.078999,-0.069477,-0.170958,-0.124273,0.011357,-0.044257,-0.007092,-0.000946,0.057997
0.007135,0.054982,-0.137514,-0.122874,0.011114,-0.049362,-0.01114,-0.00058,0.056447
0.009508,0.047836,-0.135059,-0.122622,0.012808,-0.053875,-0.015162,-0.000191,0.054739
0.054835,-0.009618,-0.151826,-0.121586,0.013435,-0.058624,-0.019164,0.000237,0.052878
0.085845,-0.040693,-0.130348,-0.119292,0.012603,-0.063296,-0.023111,0.000661,0.050862
0.03556,0.057386,-0.113578,-0.117318,0.012876,-0.067337,-0.026989,0.001076,0.048701
0.119234,-0.057437,-0.13986,-0.114796,0.012873,-0.071535,-0.030793,0.001495,0.046404
0.068951,0.028678,-0.115933,-0.111724,0.012397,-0.075773,-0.034505,0.001906,0.043968
0.054464,0.081352,-0.0872,-0.109722,0.014211,-0.079142,-0.038135,0.00234,0.041406
0.130984,-0.055047,-0.099166,-0.106699,0.014643,-0.082235,-0.041683,0.00281,0.038737
0.071096,-0.002373,-0.068081,-0.103403,0.013695,-0.085012,-0.045128,0.003272,0.035971
0.111727,0.024019,-0.072889,-0.100427,0.014051,-0.087357,-0.048471,0.003725,0.03312
0.154715,-0.083646,-0.087209,-0.096072,0.013067,-0.090017,-0.051693,0.004167,0.030186
0.099637,0.024042,-0.06093,-0.091919,0.012083,-0.092481,-0.054777,0.004576,0.027167
0.144983,-0.002326,-0.072898,-0.087927,0.012441,-0.094709,-0.057727,0.004975,0.02407
0.140218,-0.038207,-0.056132,-0.083268,0.011773,-0.096858,-0.060536,0.005369,0.0209
0.130553,0.009661,-0.05133,-0.078847,0.011302,-0.098652,-0.063197,0.005745,0.017666
0.178357,-0.08359,-0.056138,-0.073799,0.010083,-0.100447,-0.065703,0.006092,0.014371
0.132805,0.009682,-0.003479,-0.068715,0.008864,-0.101453,-0.068043,0.006399,0.01103
0.151979,0.002534,-0.001129,-0.064067,0.009067,-0.101551,-0.070224,0.00669,0.00767
0.161447,-0.02619,-0.013095,-0.058948,0.008678,-0.101808,-0.072245,0.006978,0.004303
0.163858,-0.004605,0.020441,-0.053634,0.008171,-0.101711,-0.074096,0.00725,0.000934
0.142245,-0.004595,-0.003488,-0.048637,0.008021,-0.101455,-0.075778,0.007513,-0.002431
0.168492,-0.050089,0.025146,-0.043564,0.007121,-0.101121,-0.077296,0.007758,-0.005786
0.163753,-0.018993,0.061038,-0.038138,0.005983,-0.099724,-0.078642,0.007969,-0.009113
0.175688,-0.002214,0.006023,-0.032593,0.005635,-0.098643,-0.079809,0.008156,-0.0124
0.166052,0.002599,0.017988,-0.027011,0.005644,-0.098272,-0.080793,0.008337,-0.015664
0.170835,-0.02848,0.032405,-0.021509,0.005219,-0.097467,-0.081597,0.008512,-0.018909
0.197097,-0.059559,0.051531,-0.015495,0.003769,-0.096108,-0.082212,0.008656,-0.022119
0.156383,0.007428,0.070658,-0.00972,0.002912,-0.094118,-0.082635,0.008762,-0.025275
0.163628,0.000277,0.077822,-0.004497,0.003042,-0.091695,-0.082878,0.008856,-0.028359
0.182741,-0.035609,0.101756,0.00116,0.002462,-0.08876,-0.082943,0.008942,-0.031354
0.134879,0.019413,0.080287,0.006344,0.002198,-0.085783,-0.082831,0.009015,-0.034254
0.194696,-0.033242,0.111382,0.011725,0.001973,-0.082648,-0.082546,0.00908,-0.037053
0.177927,-0.064324,0.10894,0.017816,0.000367,-0.079041,-0.082074,0.009115,-0.039741
0.163614,0.014625,0.118562,0.023396,-0.00045,-0.075315,-0.081411,0.00911,-0.04231
0.177938,-0.088241,0.108964,0.028975,-0.001661,-0.071589,-0.080565,0.009072,-0.044756
0.206682,-0.052344,0.113784,0.035266,-0.003977,-0.067941,-0.079526,0.008976,-0.047082
0.149228,0.007481,0.132923,0.041084,-0.004714,-0.063898,-0.078288,0.008829,-0.049282
0.180332,-0.030859,0.125781,0.046469,-0.005096,-0.059658,-0.076867,0.008664,-0.051345
0.122983,0.024259,0.137765,0.051421,-0.005201,-0.055337,-0.075277,0.008491,-0.053269
0.130164,0.050544,0.147396,0.055546,-0.003963,-0.050659,-0.073539,0.008337,-0.055045
0.20678,-0.097828,0.101916,0.061055,-0.004739,-0.046572,-0.071643,0.008191,-0.056677
0.111096,0.036232,0.12832,0.06625,-0.005752,-0.042801,-0.069573,0.008016,-0.05818
0.12064,-0.006915,0.125894,0.070026,-0.005264,-0.038632,-0.067355,0.007832,-0.059553
0.149408,-0.040353,0.140338,0.074435,-0.00604,-0.034266,-0.065005,0.007643,-0.060787
0.089624,0.005053,0.173808,0.078333,-0.006619,-0.029108,-0.062518,0.007432,-0.061864
0.149484,-0.083401,0.135594,0.082235,-0.007908,-0.024028,-0.059904,0.00719,-0.062772
0.147173,-0.073887,0.149944,0.087087,-0.010499,-0.019341,-0.057148,0.006885,-0.063521
0.070627,0.048206,0.171554,0.09064,-0.010919,-0.01406,-0.054253,0.00653,-0.064106
0.070674,0.048207,0.173945,0.092933,-0.009325,-0.008382,-0.051264,0.006194,-0.064511
0.082687,0.021828,0.154861,0.095426,-0.008166,-0.002979,-0.048196,0.005904,-0.064734
0.05881,0.009864,0.145291,0.097726,-0.007639,0.001952,-0.045051,0.005642,-0.064787
0.094756,-0.064275,0.142979,0.100227,-0.008534,0.006688,-0.041827,0.005374,-0.064682
0.094811,-0.064275,0.143023,0.103323,-0.010651,0.011388,-0.038512,0.005056,-0.064422
0.094867,-0.064276,0.143069,0.106424,-0.012769,0.01609,-0.035096,0.004669,-0.064007
0.094926,-0.040349,0.14547,0.109528,-0.014492,0.020834,-0.031578,0.004218,-0.063437
0.044775,0.048204,0.176705,0.111808,-0.014359,0.026134,-0.027973,0.003741,-0.062702
0.051996,-0.011617,0.131252,0.113382,-0.013752,0.0312,-0.024304,0.003277,-0.061797
0.068827,-0.016424,0.124146,0.115355,-0.014212,0.035401,-0.020577,0.002815,-0.060739
0.030547,0.009856,0.15764,0.116977,-0.014318,0.040038,-0.016792,0.002344,-0.059536
0.028258,-0.00211,0.141024,0.117931,-0.014187,0.044955,-0.012965,0.001873,-0.058177
-0.005215,0.009852,0.145788,0.118297,-0.014057,0.049678,-0.009116,0.001407,-0.056658
-0.026626,0.007496,0.136334,0.11776,-0.013768,0.054326,-0.00527,0.000948,-0.054985
0.011687,-0.016434,0.119624,0.117505,-0.013913,0.058543,-0.001438,0.000491,-0.053167
-0.040908,0.012297,0.110073,0.117016,-0.013979,0.062328,0.002381,3.10E-05,-0.051217
-0.040841,0.026612,0.138868,0.115663,-0.013335,0.066432,0.00617,-0.00042,-0.049137
-0.024004,0.016999,0.122161,0.114591,-0.012613,0.070738,0.009919,-0.000848,-0.046919
-0.02629,-0.002127,0.131835,0.113761,-0.012366,0.074929,0.013637,-0.00126,-0.04456
-0.021516,-0.040375,0.107971,0.112975,-0.013065,0.078888,0.017328,-0.001679,-0.042068
-0.059695,0.055335,0.091267,0.11164,-0.012816,0.08218,0.020984,-0.002106,-0.039456
-0.021382,-0.023612,0.08182,0.110309,-0.012291,0.085041,0.024596,-0.00252,-0.036742
-0.064367,-0.021261,0.101009,0.108904,-0.01303,0.088066,0.028164,-0.002937,-0.033932
-0.054692,-0.033228,0.081953,0.106951,-0.013928,0.091094,0.031676,-0.003382,-0.031022
-0.061786,-0.042841,0.074762,0.105043,-0.015182,0.093691,0.035126,-0.003862,-0.028018
-0.100066,0.040904,0.077281,0.102389,-0.015213,0.096213,0.0385,-0.004363,-0.024931
-0.119127,0.038548,0.055774,0.09879,-0.013901,0.098424,0.041772,-0.004842,-0.021765
-0.061598,-0.014117,0.053487,0.095829,-0.013497,0.100243,0.044936,-0.005294,-0.018532
-0.142934,0.050506,0.051103,0.092477,-0.012895,0.101988,0.047997,-0.005729,-0.01524
-0.102177,-0.040404,0.024888,0.088457,-0.012728,0.103263,0.050937,-0.006151,-0.011898
-0.114084,-0.038053,0.015343,0.084915,-0.014022,0.10395,0.053752,-0.006592,-0.008524
-0.145116,0.091196,0.003445,0.080667,-0.013144,0.104285,0.056441,-0.007039,-0.005131
-0.087693,-0.00452,-0.001197,0.076855,-0.011714,0.104349,0.058997,-0.007449,-0.001732
-0.123534,-0.018938,-0.029865,0.073402,-0.0121,0.103865,0.061434,-0.007841,0.00166
-0.176146,0.036173,-0.022643,0.068491,-0.011816,0.103029,0.063735,-0.008235,0.005032
-0.188062,0.074417,-0.008262,0.062517,-0.009991,0.102552,0.065856,-0.008594,0.008382
-0.168795,0.067256,-0.000943,0.056666,-0.007653,0.102434,0.067784,-0.008885,0.011724
-0.178362,0.062448,-0.017652,0.050976,-0.005512,0.102164,0.069523,-0.009101,0.015059
-0.130464,0.024201,-0.046326,0.045921,-0.004083,0.101146,0.071086,-0.009259,0.018375
-0.149548,0.002624,-0.058232,0.041342,-0.00364,0.099461,0.07249,-0.009386,0.021646
-0.216491,0.055284,-0.055822,0.035345,-0.002684,0.09762,0.073722,-0.00949,0.024861
-0.130354,-0.033271,-0.07489,0.029665,-0.002321,0.095507,0.074763,-0.009572,0.028011
-0.180533,0.091173,-0.048457,0.02458,-0.001366,0.093517,0.075627,-0.009632,0.031094
-0.173345,0.076756,-0.048406,0.018787,0.001405,0.091965,0.076313,-0.009631,0.03412
-0.170964,-0.011701,-0.093859,0.013153,0.002478,0.089666,0.076812,-0.009566,0.037084
-0.175746,0.03135,-0.10813,0.00748,0.002802,0.086383,0.077126,-0.009478,0.039956
-0.194847,0.031349,-0.088962,0.001413,0.003837,0.083182,0.077248,-0.009368,0.042723
-0.154131,-0.016508,-0.108042,-0.004296,0.004082,0.079984,0.077177,-0.009237,0.045386
-0.142151,-0.00935,-0.105647,-0.009135,0.003655,0.076512,0.076933,-0.009109,0.047939
-0.149296,0.052824,-0.134342,-0.013894,0.004372,0.072607,0.076533,-0.008976,0.050373
-0.137322,0.014577,-0.134307,-0.018573,0.005485,0.068231,0.075978,-0.008813,0.052671
-0.156437,0.012224,-0.143786,-0.023369,0.005927,0.0637,0.075269,-0.008624,0.054824
-0.146919,0.009772,-0.124632,-0.028324,0.00629,0.05933,0.074401,-0.008422,0.056831
-0.185162,0.036152,-0.124604,-0.033752,0.007048,0.055277,0.073362,-0.008202,0.0587
-0.170844,0.038506,-0.107809,-0.039576,0.00828,0.051503,0.07214,-0.007948,0.060442
-0.185165,0.028895,-0.172413,-0.045399,0.009392,0.04694,0.070727,-0.007656,0.062048
-0.127801,0.002614,-0.172393,-0.050512,0.009913,0.041313,0.069135,-0.007337,0.063488
-0.134967,-0.00935,-0.148448,-0.054797,0.009802,0.036082,0.06739,-0.007012,0.064749
-0.166065,0.043313,-0.146081,-0.059714,0.010363,0.031286,0.065494,-0.006678,0.065847
-0.12538,0.031349,-0.124495,-0.064473,0.011595,0.026885,0.063441,-0.006316,0.066795
-0.132553,-0.023665,-0.148416,-0.06868,0.011723,0.022447,0.061241,-0.00593,0.067599
-0.16611,0.03851,-0.16518,-0.073559,0.011969,0.017337,0.058892,-0.005539,0.068246
-0.115919,0.009777,-0.165179,-0.078165,0.012766,0.011951,0.056389,-0.00513,0.068722
-0.072791,-0.035627,-0.162827,-0.081231,0.012341,0.006604,0.05376,-0.004716,0.069023
-0.137441,0.076758,-0.134098,-0.084654,0.013021,0.00177,0.051026,-0.004297,0.069157
-0.070488,-0.050041,-0.162839,-0.088039,0.013463,-0.003064,0.048181,-0.003859,0.069134
-0.072869,-0.021306,-0.14608,-0.09036,0.012287,-0.008096,0.045243,-0.003434,0.068949
-0.137524,0.036161,-0.165217,-0.093788,0.012533,-0.013168,0.042211,-0.003023,0.068599
-0.046648,-0.035622,-0.143659,-0.096784,0.012544,-0.0182,0.039075,-0.002609,0.068084
-0.111307,0.045676,-0.141325,-0.099349,0.012711,-0.022837,0.035849,-0.002192,0.067411
-0.101731,0.038518,-0.122225,-0.102824,0.014102,-0.027122,0.032524,-0.001748,0.066593
-0.039593,-0.047584,-0.13902,-0.105116,0.013955,-0.031369,0.029105,-0.001285,0.065635
-0.013251,-0.066804,-0.143756,-0.105951,0.01207,-0.035972,0.025635,-0.000854,0.064533
-0.085074,0.062448,-0.139081,-0.107536,0.012,-0.040577,0.022127,-0.000456,0.063281
0.000988,-0.009336,-0.131858,-0.108889,0.012878,-0.044986,0.018572,-4.50E-05,0.061881
-0.073191,0.067254,-0.14386,-0.110047,0.013837,-0.049475,0.014976,0.000397,0.060336
-0.051756,0.043326,-0.134388,-0.112076,0.015664,-0.054007,0.011328,0.000885,0.058644
0.039109,-0.061997,-0.136784,-0.112254,0.015358,-0.058423,0.007645,0.001398,0.056805
0.062994,-0.054838,-0.134476,-0.11054,0.013433,-0.062841,0.003988,0.001874,0.054822
0.06295,-0.054838,-0.134524,-0.108434,0.011626,-0.067224,0.000395,0.002289,0.052696
0.062905,-0.054838,-0.134574,-0.106331,0.00982,-0.071609,-0.003127,0.002645,0.050426
-0.013631,0.038521,-0.117858,-0.105494,0.009554,-0.07572,-0.006601,0.002966,0.048017
0.055657,-0.016495,-0.117913,-0.104777,0.00992,-0.079558,-0.010048,0.003289,0.045478
0.046099,-0.040424,-0.11797,-0.103077,0.008984,-0.083399,-0.013454,0.003602,0.042814
0.048407,0.028908,-0.089296,-0.101498,0.008798,-0.086769,-0.016806,0.003898,0.040032
0.069937,-0.006986,-0.079846,-0.099527,0.009163,-0.089512,-0.020099,0.004196,0.03715
0.034,0.012233,-0.06314,-0.097795,0.009253,-0.091825,-0.02333,0.004502,0.034186
0.033955,0.038513,-0.046436,-0.096659,0.010094,-0.093589,-0.026513,0.004824,0.031156
0.079316,-0.01415,-0.070431,-0.094776,0.0105,-0.095474,-0.029646,0.005166,0.028066
0.067308,-0.018958,-0.065694,-0.092345,0.009957,-0.097679,-0.032708,0.005506,0.02491
0.067265,-0.014155,-0.046641,-0.090114,0.009415,-0.099493,-0.035692,0.005828,0.021689
0.100762,0.002611,-0.022785,-0.087332,0.009228,-0.1006,-0.038594,0.006138,0.01842
0.105525,-0.03093,-0.032468,-0.083921,0.008765,-0.101476,-0.041393,0.006438,0.015119
0.095875,-0.016518,0.003351,-0.080592,0.007986,-0.101923,-0.04408,0.006717,0.011797
0.10064,0.004955,-0.030165,-0.077345,0.007799,-0.102333,-0.046659,0.006981,0.008462
0.107761,-0.014172,-0.001507,-0.073903,0.007651,-0.102825,-0.049128,0.007239,0.005112
0.124493,-0.028494,0.024698,-0.070069,0.006951,-0.102414,-0.051477,0.007483,0.001762
0.117299,0.000234,0.022267,-0.066079,0.006488,-0.101613,-0.053696,0.007708,-0.001568
0.141193,-0.057238,0.019737,-0.061814,0.005552,-0.100896,-0.055779,0.00791,-0.004872
0.136355,0.026506,0.010147,-0.057237,0.005049,-0.10038,-0.057717,0.008089,-0.008156
0.088467,0.048075,0.007617,-0.053531,0.006283,-0.100067,-0.059517,0.00828,-0.011426
0.150611,-0.042937,0.038625,-0.04959,0.006372,-0.099285,-0.061192,0.008493,-0.014677
0.160194,-0.069225,0.033839,-0.044467,0.004525,-0.098073,-0.062718,0.008677,-0.017895
0.164972,-0.086002,0.028955,-0.039108,0.001967,-0.097022,-0.06407,0.008788,-0.021076
0.186424,-0.100326,0.059963,-0.033318,-0.001103,-0.095542,-0.065239,0.008807,-0.024214
0.100299,0.02882,0.033603,-0.028595,-0.00228,-0.093988,-0.066235,0.008755,-0.027303
0.124206,0.05274,0.052648,-0.0249,-0.00093,-0.092556,-0.067093,0.008707,-0.030342
